razao_social;nome_fantasia;cnpj;email;telefone;celular;responsavel;cep;endereco;numero;complemento;bairro;cidade;estado;porte;limite_aprovado;observacao;corretora_nome;data_cadastro
KANIA INDUSTRIA E COMERCIO DE ACUMULADORES LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-10 0:00:00
BLOCO DE ONZE AEROPORTOS DO BRASIL S.A;;48.725.405/0001-13;;;;;;;;;;;;;200.000.000,00;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;11/03/2026
AEROPORTOS DO NORDESTE DO BRASIL S.A.;;33.919.741/0001-20;;;;;;;;;;;;;200.000.000,00;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;11/03/2026
DEMANDA BARBOSA MELO;;;;;;;;;;;;;;;;;Dh7 Corretora De Seguros Ltda;2026-03-11 0:00:00
GRADUAL ENGENHARIA E CONSULTORIA LTDA;;11.388.737/0001-40;;;;;;;;;;;;;9.853.907,21;;J&F Jemfam Corretora De Seguros Ltda;12/03/2026
AMPLA ENERGIA E SERVICOS S.A.;;33.050.071/0001-58;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;12/03/2026
GMIL TRANSPORTES LTDA;;30.954.079/0001-50;;;;;;;;;;;;;936.043,97;;Howden Brasil Consultoria E Corretora De Seguros Ltda;12/03/2026
INTEGRA S/A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-12 0:00:00
EIRAS ENGENHARIA LTDA;;11.455.184/0001-09;;;;;;;;;;;;;18.703.544,72;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;13/03/2026
CSM-COMPONENTES SISTEMAS E MAQUINAS PARA CONSTRUCAO LTD;;76.840.537/0001-21;;;;;;;;;;;;;29.991.455,90;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;13/03/2026
CONSTRUTORA CONTORNO LTDA;;22.247.399/0001-42;;;;;;;;;;;;;56.701.385,63;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;13/03/2026
CONFINA ALIMENTOS INDUSTRIAL LTDA;;74.657.784/0001-61;;;;;;;;;;;;;37.372.552,37;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;13/03/2026
CONCRELONGO SERVICOS DE CONCRETAGEM LTDA;;04.656.185/0001-48;;;;;;;;;;;;;51.972.395,90;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;13/03/2026
BRAZO ENGENHARIA LTDA;;11.930.381/0001-24;;;;;;;;;;;;;2.940.931,83;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;13/03/2026
BLENDCOFFEE COMERCIO EXPORTACAO E IMPORTACAO LTDA;;13.527.082/0001-79;;;;;;;;;;;;;145.632.370,65;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;13/03/2026
ANJUN TFK BRASIL PARTICIPACOES LTDA;;49.526.505/0001-83;;;;;;;;;;;;;142.692.613,86;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;13/03/2026
ALARES INTERNET PARTICIPACOES S A;;23.438.929/0001-00;;;;;;;;;;;;;200.000.000,00;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;13/03/2026
ASSOCIACAO BENEFICENTE JOAO PAULO II;;22.564.221/0001-25;;;;;;;;;;;;;3.128.281,93;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;13/03/2026
GEO ELETRICA TAMBOARA BIOENERGIA LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-13 0:00:00
CONSTRUTORA M-21 E FORSA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-13 0:00:00
MONTCALM MONTAGENS INSDUSTRIAIS S.A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-13 0:00:00
ALLIBUS TRANSPORTES;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-13 0:00:00
VORTEX EMPREENDIMENTOS E CONSTRUCOES LTDA;;35.699.852/0001-01;;;;;;;;;;;;;;;Dh7 Corretora De Seguros Ltda;16/03/2026
BRAVA ENERGIA S.A;;12.091.809/0001-55;;;;;;;;;;;;;200.000.000,00;;Howden Brasil Consultoria E Corretora De Seguros Ltda;16/03/2026
ERNESTO TZIRULNIK ADVOCACIA;;53.781.415/0001-06;;;;;;;;;;;;;27.451.311,83;;J&F Jemfam Corretora De Seguros Ltda;16/03/2026
GRUPO FLEURY;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-16 0:00:00
ARC COMÉRCIO LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-16 0:00:00
EPR PARTICIPAÇÕES S.A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-16 0:00:00
GTF FOODS S.A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-16 0:00:00
AGIS CONSTRUÇÃO;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-16 0:00:00
CDV DESENVOLVIMENTO S.A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-16 0:00:00
ELLO SERVICOS, OBRAS E PARTICIPACOES LTDA;;72.713.654/0001-73;;;;;;;;;;;;;86.489.591,11;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;17/03/2026
ELITE ENGENHARIA LTDA;;08.782.693/0001-23;;;;;;;;;;;;;200.000.000,00;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;17/03/2026
FÁBRICA DE IDEIAS IND. E COM. DE DISPLAYS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-17 0:00:00
UNIMINAS AS;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-17 0:00:00
TERRACOM CONSTRUCOES LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-03-17 0:00:00
SAE TOWERS BRASIL TORRES DE TRANSMISSÃO LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-03-17 0:00:00
PROFARMA DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS S.A;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-03-17 0:00:00
ENEVA S.A.;;04.423.567/0001-21;;;;;;;;;;;;;200.000.000,00;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;18/03/2026
ENERGISA S/A;;00.864.214/0001-06;;;;;;;;;;;;;200.000.000,00;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;18/03/2026
MAGAZINE LUIZA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-18 0:00:00
M.I. MONTREAL INFORMÁTICA S.A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-18 0:00:00
MEGA GOGLIO LATAM S.A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-18 0:00:00
RIO BRANCO COMÉRCIO E INDUSTRIA DE PAPÉIS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-19 0:00:00
FEDERACAO NACIONAL DAS ASSOCIACOES DO PESSOAL DA CEF;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-19 0:00:00
MIKOS PRODUTOS TEXTEIS E PARTICIPACOES LTDA;;;;;;;;;;;;;;;;;Howden Brasil Consultoria E Corretora De Seguros Ltda;2026-03-19 0:00:00
INSTITUTO SOCIAL SE LIGA;;;;;;;;;;;;;;;;;Lugano Corretora E Agenciadora De Seguros Ltda;2026-03-19 0:00:00
A&L ENGENHARIA E SERVIÇOS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-20 0:00:00
DRT REPRESENTAÇÕES LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-20 0:00:00
CAP PROTEÇÃO E CONSTRUÇÕES LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-20 0:00:00
RAIZEN ENERGIA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-03-20 0:00:00
VESTE S.A. ESTILO;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-03-20 0:00:00
YUNY INCORPORADORA HOLDING S.A.;;09.267.996/0001-70;;;;;;;;;;;;;54.906.600,00;;Atix Servicos E Corretagem De Seguros;23/03/2026
EUROFARMA LABORATORIOS S.A.;;61.190.096/0001-92;;;;;;;;;;;;;200.000.000,00;;Rafael Abreu Accurti;23/03/2026
ETC EMPREENDIMENTOS E TECNOLOGIA EM CONSTRUCOES LTDA.;;03.193.191/0001-43;;;;;;;;;;;;;44.769.313,57;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;23/03/2026
LONGPING HIGH - TECH BIOTECNOLOGIA LTDA.;;08.864.422/0001-17;;;;;;;;;;;;;200.000.000,00;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;23/03/2026
PHOTON INCORPORADORA LTDA;;30.353.598/0001-63;;;;;;;;;;;;;4.000.000,00;;Atix Servicos E Corretagem De Seguros;23/03/2026
DWELL CONSTRUCOES E INCORPORACOES DE IMOVEIS LTDA;;09.944.104/0001-29;;;;;;;;;;;;;1.701.258,75;;Atix Servicos E Corretagem De Seguros;23/03/2026
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-03-23 0:00:00
ERRAMAQ INSUMOS AGRICOLAS LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-03-23 0:00:00
